staff_id,first_name,last_name,email,phone,active,store_id,manager_id
1,MfZOAq,vxaDKodl,mfzoaq.vxadkodl@test.com,0361877658,1,2,
2,LorxbO,orLWFDKa,lorxbo.orlwfdka@sample.org,2654851840,1,3,
3,yVRACi,HfGdFoVs,yvraci.hfgdfovs@sample.org,2319236905,0,7,1
4,TJlRYr,yJpZjCZw,tjlryr.yjpzjczw@test.com,5848389158,0,7,2
5,PIqcIv,JDnFKYOi,piqciv.jdnfkyoi@test.com,0256831385,1,1,4
6,RMXIJQ,jramjqzp,rmxijq.jramjqzp@test.com,8503098850,0,3,
7,xqaOhp,aihnPJHk,xqaohp.aihnpjhk@test.com,8551410846,1,1,
8,LZtUuO,svtZuKRF,lztuuo.svtzukrf@test.com,8937696299,1,1,2
9,CUDreV,yljHScYS,cudrev.yljhscys@sample.org,9825767710,0,1,6
10,fsuvjy,xgHInGyB,fsuvjy.xghingyb@example.com,4033679314,0,3,4
11,XGtkee,GXOssNfc,xgtkee.gxossnfc@test.com,1137757121,1,8,5
12,NeRiha,CMoRyKZS,neriha.cmorykzs@test.com,2830302273,0,2,11
13,KAlvFE,UnTvcqBK,kalvfe.untvcqbk@example.com,3040167520,1,5,6
14,ZLhayN,XWqHkSfD,zlhayn.xwqhksfd@sample.org,4138459552,1,7,5
15,TwIgEk,CTJGVapz,twigek.ctjgvapz@example.com,4592282287,1,3,8
16,IYKhDM,DjfLdpnt,iykhdm.djfldpnt@test.com,2061130222,0,3,13
17,FSJRgQ,tIzqPLrt,fsjrgq.tizqplrt@example.com,7987122825,0,9,3
18,AUflIs,MuHbKmKn,auflis.muhbkmkn@example.com,3946709698,1,6,2
19,CNlZkC,uUsyLOir,cnlzkc.uusyloir@sample.org,6956537611,0,5,16
20,qUlhUh,XCbcpplq,qulhuh.xcbcpplq@test.com,6836357832,1,6,16
21,HkNbDG,uaPBRWNj,hknbdg.uapbrwnj@test.com,8669470500,0,10,
22,tQemgp,aFudoQJv,tqemgp.afudoqjv@sample.org,8304774370,1,9,1
23,oMtVIb,LCqUYZdR,omtvib.lcquyzdr@test.com,6225867781,0,7,14
